task_id,family,parent_correct,derived_correct,parent_valid_proof,derived_valid_proof,parent_nodes_visited,parent_edges_examined,parent_search_steps,parent_compute_credits,derived_nodes_visited,derived_edges_examined,derived_search_steps,derived_compute_credits,delta_nodes_visited,delta_edges_examined,delta_search_steps,delta_compute_credits
test-670dc2dbc7d4cfee,distractor,True,True,True,True,3,18,33,36,3,18,33,36,0,0,0,0
test-6449d0b3992044c5,semantic_hybrid,True,True,True,True,7,17,33,40,7,17,33,40,0,0,0,0
test-74fb2c695d4b2c63,robustness,True,True,True,True,7,49,33,40,7,49,33,40,0,0,0,0
test-5230f4b852829b75,path,True,True,True,True,2,24,33,35,2,24,33,35,0,0,0,0
test-462429f043eb6190,path,True,True,True,True,7,17,33,40,7,17,33,40,0,0,0,0
test-475e287ce0d68db3,distractor,True,True,True,True,10,358,33,43,10,358,33,43,0,0,0,0
test-6e02bad13fb1436d,intersection,True,True,True,True,1,4,33,34,1,4,33,34,0,0,0,0
test-7a52432a13d9b43c,path,True,True,True,True,11,26,33,44,11,26,33,44,0,0,0,0
test-50456e04f1a193f6,distractor,True,True,True,True,2,13,33,35,2,13,33,35,0,0,0,0
test-6f6451d04230c7d8,semantic_hybrid,True,True,True,True,34,459,33,67,34,459,33,67,0,0,0,0
test-439eb19bda64c1fe,robustness,True,True,True,True,12,82,33,45,12,82,33,45,0,0,0,0
test-1f1c68cd458bed8d,path,True,True,True,True,4,15,33,37,4,15,33,37,0,0,0,0
test-6edd14eec837ea54,path,True,True,True,True,40,2494,33,73,40,2494,33,73,0,0,0,0
test-6a2230d2a114acec,distractor,True,True,True,True,20,100,33,53,20,100,33,53,0,0,0,0
test-4283176fd1a81f0c,intersection,True,True,True,True,6,12,33,39,6,12,33,39,0,0,0,0
test-69fa7a3c2bc94696,path,True,True,True,True,307,10777,33,340,307,10777,33,340,0,0,0,0
test-49ec7a4beb1dc96d,distractor,True,True,True,True,8,80,33,41,8,80,33,41,0,0,0,0
test-3ad77b44b47ff580,semantic_hybrid,True,True,True,True,22,241,33,55,22,241,33,55,0,0,0,0
test-69ce8a2cd2cadb49,robustness,True,True,True,True,5,31,33,38,5,31,33,38,0,0,0,0
test-53c205220b670379,path,True,True,True,True,62,211,33,95,62,211,33,95,0,0,0,0
test-0f1c74f7830ddbd8,path,True,True,True,True,480,24094,33,513,480,24094,33,513,0,0,0,0
test-235586c2103b4c9c,distractor,True,True,True,True,12,55,33,45,12,55,33,45,0,0,0,0
test-4464e053b6e67472,intersection,True,True,True,True,1,6,33,34,1,6,33,34,0,0,0,0
test-45fa722ec2f44541,path,True,True,True,True,3,9,33,36,3,9,33,36,0,0,0,0
test-418114a87acea36f,distractor,True,True,True,True,14,65,33,47,14,65,33,47,0,0,0,0
test-70f602d01e6cda37,semantic_hybrid,True,True,True,True,54,571,33,87,54,571,33,87,0,0,0,0
test-267f46ce957281f5,robustness,True,True,True,True,5,12,33,38,5,12,33,38,0,0,0,0
test-70364ed53c136bf5,path,True,True,True,True,105,917,33,138,105,917,33,138,0,0,0,0
test-665f585f20fbedc4,path,True,True,True,True,4,42,33,37,4,42,33,37,0,0,0,0
test-0231c85f68ed2d6e,distractor,True,True,True,True,3,7,33,36,3,7,33,36,0,0,0,0
test-2cd08f363f032443,intersection,True,True,True,True,1,1,33,34,1,1,33,34,0,0,0,0
test-70e8d578c960607f,path,True,True,True,True,9,26,33,42,9,26,33,42,0,0,0,0
test-5c146bebd77d22f8,distractor,True,True,True,True,8,35,33,41,8,35,33,41,0,0,0,0
test-68306df519c7768f,semantic_hybrid,True,True,True,True,6,15,33,39,6,15,33,39,0,0,0,0
test-295325d90748b013,robustness,True,True,True,True,248,1672,33,281,248,1672,33,281,0,0,0,0
test-0e7664ccdb7cd250,path,True,True,True,True,5,120,33,38,5,120,33,38,0,0,0,0
test-400705f75c6f8d2a,path,True,True,True,True,12,50,33,45,12,50,33,45,0,0,0,0
test-28aaa713009543e1,distractor,True,True,True,True,7,23,33,40,7,23,33,40,0,0,0,0
test-22fe69deff865cff,intersection,True,True,True,True,9,15,33,42,9,15,33,42,0,0,0,0
test-2dece23e13b8ddef,path,True,True,True,True,10,19,33,43,10,19,33,43,0,0,0,0
test-35386f4b384c84c8,distractor,True,True,True,True,6,38,33,39,6,38,33,39,0,0,0,0
test-02439c8a900320ec,semantic_hybrid,True,True,True,True,39,1945,33,72,39,1945,33,72,0,0,0,0
test-279694d55853bdc3,robustness,True,True,True,True,6,14,33,39,6,14,33,39,0,0,0,0
test-458c752f96a155d9,path,True,True,True,True,121,2772,33,154,121,2772,33,154,0,0,0,0
test-6a8c0369f6aa50d9,path,True,True,True,True,16,79,33,49,16,79,33,49,0,0,0,0
test-2d1a9215b82e29c4,distractor,True,True,True,True,25,99,33,58,25,99,33,58,0,0,0,0
test-50b0ab017c7b5aae,intersection,True,True,True,True,7,15,33,40,7,15,33,40,0,0,0,0
test-16b5e906ca0fc89c,path,True,True,True,True,161,898,33,194,161,898,33,194,0,0,0,0
test-4d06d3943dfceb7a,distractor,True,True,True,True,123,745,33,156,123,745,33,156,0,0,0,0
test-29fdfb188b39c4c6,semantic_hybrid,True,True,True,True,19,336,33,52,19,336,33,52,0,0,0,0
test-578620a45142a5a8,robustness,True,True,True,True,8,30,33,41,8,30,33,41,0,0,0,0
test-0e7e00ceb52dfc82,path,True,True,True,True,19,246,33,52,19,246,33,52,0,0,0,0
test-4ca3a0052503a49e,path,True,True,True,True,7,22,33,40,7,22,33,40,0,0,0,0
test-4902e48e969bb7a6,distractor,True,True,True,True,410,17365,33,443,410,17365,33,443,0,0,0,0
test-24ea9c5ca1b4c62a,intersection,True,True,True,True,1,5,33,34,1,5,33,34,0,0,0,0
test-54308a5a17458b44,path,True,True,True,True,6,31,33,39,6,31,33,39,0,0,0,0
test-18cc2f0197500f68,distractor,True,True,True,True,475,25747,33,508,475,25747,33,508,0,0,0,0
test-70f31b4e69130c65,semantic_hybrid,True,True,True,True,2,6,33,35,2,6,33,35,0,0,0,0
test-6dd6515fd3fd4ca5,robustness,True,True,True,True,3,196,33,36,3,196,33,36,0,0,0,0
test-2dbe4bfdd9739fe4,path,True,True,True,True,8,115,33,41,8,115,33,41,0,0,0,0
test-5d4192c46c47c90d,path,True,True,True,True,6,20,33,39,6,20,33,39,0,0,0,0
test-18ab7e3678c04ed7,distractor,True,True,True,True,18,185,33,51,18,185,33,51,0,0,0,0
test-68d1a932525d2f4c,intersection,True,True,True,True,1,2,33,34,1,2,33,34,0,0,0,0
test-0f3b03bff7e005ef,path,True,True,True,True,28,167,33,61,28,167,33,61,0,0,0,0
test-6cdd91e53151443e,distractor,True,True,True,True,9,89,33,42,9,89,33,42,0,0,0,0
test-45af33152b0062b6,semantic_hybrid,True,True,True,True,9,33,33,42,9,33,33,42,0,0,0,0
test-4d7eba11186f9295,robustness,True,True,True,True,432,17932,33,465,432,17932,33,465,0,0,0,0
test-32ccccecbe159f2b,path,True,True,True,True,7,13,33,40,7,13,33,40,0,0,0,0
test-54ad5ac991436495,path,True,True,True,True,28,419,33,61,28,419,33,61,0,0,0,0
test-09ec98e2e11e404a,distractor,True,True,True,True,52,204,33,85,52,204,33,85,0,0,0,0
test-5eae5f8592e3d43d,intersection,True,True,True,True,1,7,33,34,1,7,33,34,0,0,0,0
test-34e848fb485895ee,path,True,True,True,True,15,59,33,48,15,59,33,48,0,0,0,0
test-158065352341ed72,distractor,True,True,True,True,2,8,33,35,2,8,33,35,0,0,0,0
test-43fa05c732cce5aa,semantic_hybrid,True,True,True,True,4,14,33,37,4,14,33,37,0,0,0,0
test-32e4ab3f15790fd2,robustness,True,True,True,True,6,36,33,39,6,36,33,39,0,0,0,0
test-056a41239916620b,path,True,True,True,True,15,59,33,48,15,59,33,48,0,0,0,0
test-61db84f284d99891,path,True,True,True,True,6,34,33,39,6,34,33,39,0,0,0,0
test-609f6395d26e6082,distractor,True,True,True,True,3,20,33,36,3,20,33,36,0,0,0,0
test-10d5e263cbe335f5,intersection,True,True,True,True,1,5,33,34,1,5,33,34,0,0,0,0
