ts_unix,global_step,phase,reward,success_rate,proof_validity,nodes_per_query,edges_per_query
1786640014.7804627,3126784,jetson_specialization,0.7403470861101809,0.625,0.625,25.75,1041.125
1786640015.399206,3126800,jetson_specialization,0.9401336679482328,0.6875,0.6875,11.6875,43.375
1786640016.0236385,3126816,jetson_specialization,0.9352789916905097,0.6875,0.6875,23.9375,651.0625
1786640016.6133378,3126832,jetson_specialization,0.012063755368167006,0.375,0.375,17.0625,180.8125
1786640017.1986187,3126848,jetson_specialization,0.3877101918206526,0.5,0.5,12.3125,73.3125
1786640017.8112895,3126864,jetson_specialization,0.368791609270704,0.5,0.5,29.625,1042.25
1786640018.381653,3126880,jetson_specialization,0.7603627554265113,0.625,0.625,15.5625,54.3125
1786640018.9962,3126896,jetson_specialization,-0.15414128598442894,0.375,0.375,184.875,1037.1875
1786640019.5774467,3126912,jetson_specialization,0.007522695887326639,0.375,0.375,19.25,88.0
1786640020.16927,3126928,jetson_specialization,0.7680384357861905,0.625,0.625,5.1875,45.0625
1786640020.7654505,3126944,jetson_specialization,0.7667505957461656,0.625,0.625,10.0,44.375
1786640021.3569183,3126960,jetson_specialization,-0.0008723426370552956,0.375,0.375,28.3125,1041.9375
1786640021.9341419,3126976,jetson_specialization,0.3750992052918548,0.5,0.5,25.6875,200.375
1786640022.5396874,3126992,jetson_specialization,0.7271986086168948,0.625,0.625,44.875,241.75
1786640023.1705775,3127008,jetson_specialization,0.748304103921428,0.625,0.625,16.25,130.3125
1786640023.7634995,3127024,jetson_specialization,0.7525242973851903,0.625,0.625,19.3125,147.625
1786640024.3462863,3127040,jetson_specialization,1.129610516061508,0.75,0.75,18.0,96.9375
1786640024.9798615,3127056,jetson_specialization,0.37639207268237684,0.5,0.5,27.0,108.1875
1786640025.5560384,3127072,jetson_specialization,0.18126195998457398,0.4375,0.4375,31.5,82.25
1786640026.210798,3127088,jetson_specialization,0.8083126937439216,0.6875,0.6875,148.625,845.1875
1786640026.7573974,3127104,jetson_specialization,0.01854218027876174,0.375,0.375,10.5625,62.0
1786640027.3036978,3127120,jetson_specialization,0.39645397579102704,0.5,0.5,9.125,37.25
1786640027.859578,3127136,jetson_specialization,0.38820852827868213,0.5,0.5,10.9375,113.4375
1786640028.4809608,3127152,jetson_specialization,0.1896345035511336,0.4375,0.4375,26.125,980.75
1786640029.082159,3127168,jetson_specialization,0.9333365035335878,0.6875,0.6875,16.125,80.375
1786640029.6663642,3127184,jetson_specialization,0.7631352497395248,0.625,0.625,7.75,54.25
1786640030.263318,3127200,jetson_specialization,0.7417461095346001,0.625,0.625,25.25,759.0
1786640030.8419785,3127216,jetson_specialization,0.3965378225226382,0.5,0.5,3.25,12.1875
1786640031.422155,3127232,jetson_specialization,0.027401607248298182,0.4375,0.4375,186.8125,1060.0
1786640032.0269032,3127248,jetson_specialization,0.7493062739654276,0.625,0.625,24.25,289.4375
1786640032.600032,3127264,jetson_specialization,0.10578736971451524,0.4375,0.4375,109.9375,752.3125
1786640033.2332373,3127280,jetson_specialization,0.7633084117248254,0.625,0.625,5.0625,90.6875
1786640033.879326,3127296,jetson_specialization,0.8990496563291734,0.6875,0.6875,48.1875,1328.0
1786640034.477139,3127312,jetson_specialization,0.7529445118571617,0.625,0.625,17.0625,446.375
1786640035.1019824,3127328,jetson_specialization,0.1860707361964577,0.4375,0.4375,20.875,211.125
1786640035.6932366,3127344,jetson_specialization,-0.1693101981003422,0.375,0.3125,3.375,20.375
1786640036.309985,3127360,jetson_specialization,-0.0013828736148727844,0.375,0.375,24.0,773.25
1786640036.9030035,3127376,jetson_specialization,0.19543507204213817,0.4375,0.4375,12.1875,215.875
1786640037.557913,3127392,jetson_specialization,0.7440831024344505,0.625,0.625,22.0625,680.4375
1786640038.173335,3127408,jetson_specialization,0.7454971205523934,0.625,0.625,30.5,365.4375
1786640038.7790682,3127424,jetson_specialization,0.7255717309241214,0.625,0.625,44.6875,1135.4375
1786640039.341489,3127440,jetson_specialization,0.1854290762982615,0.4375,0.4375,32.1875,117.375
1786640039.9766169,3127456,jetson_specialization,1.095312709332442,0.75,0.75,40.1875,1039.25
1786640040.56933,3127472,jetson_specialization,0.9373573036987809,0.6875,0.6875,17.1875,122.3125
1786640041.1663206,3127488,jetson_specialization,0.3728114343083019,0.5,0.5,15.625,154.4375
1786640041.792128,3127504,jetson_specialization,0.5414397899292951,0.5625,0.5625,35.5,1102.4375
1786640042.4121587,3127520,jetson_specialization,0.35982087451432354,0.5,0.5,33.8125,785.625
1786640043.055687,3127536,jetson_specialization,0.4395279276778184,0.5625,0.5625,143.4375,2105.5625
1786640043.624499,3127552,jetson_specialization,0.5658193959486312,0.5625,0.5625,23.4375,152.75
1786640044.2324934,3127568,jetson_specialization,0.9370054785584595,0.6875,0.6875,5.0,35.5
1786640044.8770032,3127584,jetson_specialization,0.18180914532632347,0.4375,0.4375,6.6875,34.375
1786640045.498012,3127600,jetson_specialization,0.38057116794823287,0.5,0.5,5.5,68.875
1786640046.1161616,3127616,jetson_specialization,0.24343042999332384,0.5,0.5,157.5625,1799.0
1786640046.7211845,3127632,jetson_specialization,0.5361701749940128,0.5625,0.5625,52.25,964.3125
1786640047.3267105,3127648,jetson_specialization,0.5561421059186565,0.5625,0.5625,30.5,1082.8125
1786640047.9716716,3127664,jetson_specialization,0.33693680512344637,0.5,0.5,61.75,1244.4375
1786640048.5486877,3127680,jetson_specialization,0.9471926147613265,0.6875,0.6875,9.5625,33.9375
1786640049.1247692,3127696,jetson_specialization,0.1826184428482321,0.4375,0.4375,29.125,88.8125
1786640049.7280097,3127712,jetson_specialization,0.5528073927416889,0.5625,0.5625,29.9375,773.6875
1786640050.40505,3127728,jetson_specialization,0.9741373885240744,0.75,0.75,164.0625,853.0
1786640050.9959462,3127744,jetson_specialization,0.38864229827600316,0.5,0.5,8.875,127.5625
1786640051.6027284,3127760,jetson_specialization,0.9267463420007485,0.6875,0.6875,30.875,1051.0
1786640052.2229292,3127776,jetson_specialization,0.17124185081128784,0.4375,0.4375,36.5,803.8125
1786640052.8966055,3127792,jetson_specialization,1.2673500007744702,0.8125,0.8125,50.8125,1670.5625
1786640053.492956,3127808,jetson_specialization,0.7560076788904486,0.625,0.625,18.1875,750.875
1786640054.0632563,3127824,jetson_specialization,0.7671664010099675,0.625,0.625,5.0625,32.875
1786640054.660841,3127840,jetson_specialization,0.5580927474296742,0.5625,0.5625,19.6875,99.875
1786640055.282728,3127856,jetson_specialization,0.746728111882974,0.625,0.625,23.5625,328.0625
1786640055.8925333,3127872,jetson_specialization,1.0868533897580372,0.75,0.75,53.8125,257.875
1786640056.4519777,3127888,jetson_specialization,0.3968639036245576,0.5,0.5,6.25,29.75
1786640057.0716586,3127904,jetson_specialization,1.5113111088548092,0.875,0.875,3.6875,11.0
1786640057.685014,3127920,jetson_specialization,0.18599094723208612,0.4375,0.4375,26.625,80.5625
1786640058.2854233,3127936,jetson_specialization,1.1253521652117064,0.75,0.75,15.75,242.8125
1786640058.88214,3127952,jetson_specialization,0.47482772542744206,0.5625,0.5625,106.25,725.625
1786640059.4888926,3127968,jetson_specialization,0.17413356182975068,0.4375,0.4375,35.3125,567.375
1786640060.0659132,3127984,jetson_specialization,0.3819836398849635,0.5,0.5,16.375,269.375
1786640060.6360452,3128000,jetson_specialization,0.012337586944862824,0.375,0.375,13.4375,167.6875
1786640061.2526684,3128016,jetson_specialization,0.3829854312770117,0.5,0.5,14.625,300.3125
1786640061.881652,3128032,jetson_specialization,1.4998936260745444,0.875,0.875,11.25,87.1875
1786640062.530045,3128048,jetson_specialization,0.750728798555202,0.625,0.625,13.0,64.375
1786640063.0975554,3128064,jetson_specialization,0.3297884046659077,0.5,0.5,60.5,218.0
